global_id,start,end,stroi,roads,stupid
797953994,2017-03-01T00:00:00,2017-09-30T00:00:00,0.398237969782574,0.0,1.7272727272727273
797954127,2017-03-01T00:00:00,2017-09-30T00:00:00,0.844573564885094,0.0,2.074074074074074
797954221,2017-03-01T00:00:00,2017-09-30T00:00:00,0.4670163849375477,0.0,1.5
797954359,2017-03-01T00:00:00,2017-09-30T00:00:00,0.02919981559769491,0.0,2.857142857142857
797954458,2017-03-01T00:00:00,2017-09-30T00:00:00,0.7485083610495179,0.0,1.6610169491525424
797954610,2017-03-01T00:00:00,2017-09-30T00:00:00,0.05471232755437827,0.0,2.2857142857142856
797954695,2017-03-01T00:00:00,2017-09-30T00:00:00,0.2198576751647332,0.0,1.6071428571428572
797954808,2017-03-01T00:00:00,2017-09-30T00:00:00,0.10404763735751277,0.0,2.4705882352941178
797954955,2017-03-01T00:00:00,2017-09-30T00:00:00,0.28950738354562855,0.0,2.076923076923077
797955070,2017-03-01T00:00:00,2017-09-30T00:00:00,0.25682875516476855,0.0,4.4
797955198,2017-03-01T00:00:00,2017-09-30T00:00:00,0.45584275861511736,0.0,2.6666666666666665
797955287,2017-03-01T00:00:00,2017-09-30T00:00:00,0.22503809525314566,0.0,2.0
797955447,2017-03-01T00:00:00,2017-09-30T00:00:00,0.6082226220704423,0.0,0.0
797955616,2017-03-01T00:00:00,2017-09-30T00:00:00,0.5062524730940383,0.0,2.6
797955716,2017-03-01T00:00:00,2017-09-30T00:00:00,0.42044468829247994,0.0,2.3
797955851,2017-03-01T00:00:00,2017-09-30T00:00:00,0.6402133372625731,0.0,2.0
797955890,2017-03-01T00:00:00,2017-09-30T00:00:00,0.8216028120878112,0.0,2.3333333333333335
797956005,2017-03-01T00:00:00,2017-09-30T00:00:00,0.06961317419513957,0.0,2.2916666666666665
797956172,2017-03-01T00:00:00,2017-09-30T00:00:00,0.019075532912188442,0.0,2.5625
797956253,2017-03-01T00:00:00,2017-09-30T00:00:00,0.02295066805563417,0.0,2.25
797956335,2017-03-01T00:00:00,2017-09-30T00:00:00,0.036498721496846076,0.0,1.5
797956436,2017-03-01T00:00:00,2017-09-30T00:00:00,0.25953866454105645,0.0,1.2857142857142858
797956540,2017-03-01T00:00:00,2017-09-30T00:00:00,0.43527145657263744,0.0,1.8823529411764706
797956657,2017-03-01T00:00:00,2017-09-30T00:00:00,0.05205304113947429,0.0,3.2222222222222223
797956782,2017-03-01T00:00:00,2017-09-30T00:00:00,0.17847167723323443,0.0,2.2
797956872,2017-03-01T00:00:00,2017-09-30T00:00:00,0.3269421440042246,0.0,6.333333333333333
797956978,2017-03-01T00:00:00,2017-09-30T00:00:00,0.6732274524854784,0.0,3.8095238095238093
797957053,2017-03-01T00:00:00,2017-09-30T00:00:00,0.5486964237353533,0.0,2.135593220338983
797957165,2017-03-01T00:00:00,2017-09-30T00:00:00,0.1531987434911758,0.0,5.5
797957287,2017-03-01T00:00:00,2017-09-30T00:00:00,0.1378865319902427,0.0,2.888888888888889
797957435,2017-03-01T00:00:00,2017-09-30T00:00:00,0.7791184253617335,0.0,8.5
797957572,2017-03-01T00:00:00,2017-09-30T00:00:00,0.5212054206253708,0.0,3.5384615384615383
797957695,2017-03-01T00:00:00,2017-09-30T00:00:00,0.4610280511195253,0.0,8.0
797957811,2017-03-01T00:00:00,2017-09-30T00:00:00,0.23403790444495665,0.0,1.8148148148148149
797957916,2017-03-01T00:00:00,2017-09-30T00:00:00,0.31413511233110103,0.0,10.0
797958011,2017-03-01T00:00:00,2017-09-30T00:00:00,0.01963408462772276,0.0,1.8620689655172413
797958112,2017-03-01T00:00:00,2017-09-30T00:00:00,0.4286968047900295,0.0,2.5
797958230,2017-03-01T00:00:00,2017-09-30T00:00:00,0.05381954528479116,0.0,2.2033898305084745
797958316,2017-03-01T00:00:00,2017-09-30T00:00:00,0.09356621707993495,0.0,1.7115384615384615
797958387,2017-03-01T00:00:00,2017-09-30T00:00:00,0.084958391654407,0.0,3.1818181818181817
797958508,2017-03-01T00:00:00,2017-09-30T00:00:00,0.0,0.0,7.0
797958624,2017-03-01T00:00:00,2017-09-30T00:00:00,0.005485145452086226,0.0,2.625
